product_id,image_file,api_name,api_brand,visible_product_name,visible_brand,visible_amount,visible_unit,notes
P_3029815,P_3029815.jpg,"חלב מועשר יטבתה 3% כד","יטבתה",,,,,
P_4760161882131,P_4760161882131.jpg,"פסטה פנה ריגטה","favelli",,,,,
P_7296073229674,P_7296073229674.jpg,"פסטה לינגוויני","MORINI",,,,,
P_6451491,P_6451491.jpg,"לחם מחמצת זיתי קלמטה","שופרסל",,,,,
P_7296073641582,P_7296073641582.jpg,"לחם מחמצת כוסמין פרוס","שופרסל",,,,,
P_7296073612728,P_7296073612728.jpg,"לחם מחמצת דגנים","שופרסל",,,,,
P_7290114311472,P_7290114311472.jpg,"גבינה לבנה 5% מהדרין","טרה",,,,,
P_6451934,P_6451934.jpg,"לחם מחמצת אגוזים","שופרסל",,,,,
P_8004690058008,P_8004690058008.jpg,"פסטה ג'מלי","לה מוליזנה",,,,,
P_7296073641575,P_7296073641575.jpg,"לחם מחמצת דגנים פרוס","שופרסל",,,,,
P_7290116930695,P_7290116930695.jpg,"חלב נטול לקטוז 2% מהדרין","תנובה",,,,,
P_42435,P_42435.jpg,"חלב מפוסטר 1% בקרטון","תנובה",,,,,
P_7296073612711,P_7296073612711.jpg,"לחם מחמצת אגוזים","שופרסל",,,,,
P_42015,P_42015.jpg,"חלב מפוסטר3% מהדרין שקית","תנובה",,,,,
P_7290102398065,P_7290102398065.jpg,"חלב 3% בקרטון מהדרין","טרה",,,,,
P_60828,P_60828.jpg,"פסטה קרניים בינוניות","אסם",,,,,
P_42411,P_42411.jpg,"חלב בקבוק 3% יטבתה","יטבתה",,,,,
P_7296073641612,P_7296073641612.jpg,"לחם מחמצת שיפון פרוס","שופרסל",,,,,
P_48185,P_48185.jpg,"גבינה לבנה רכה 5% שומן","תנובה",,,,,
P_6451675,P_6451675.jpg,"לחם מחמצת סלק","שופרסל",,,,,
P_7290102398331,P_7290102398331.jpg,"חלב מועשר דל לקטוז 2%","טרה",,,,,
P_2824466,P_2824466.jpg,"יוגורט ביו 0% שומן דנונה","דנונה",,,,,
P_2824183,P_2824183.jpg,"גבינה לבנה סקי 5% שומן","סקי",,,,,
P_4760161882155,P_4760161882155.jpg,"פסטה פרפלה","favelli",,,,,
P_7290011499327,P_7290011499327.jpg,"גבינה בולגרית מעודנת 5%","מחלבות גד",,,,,
P_7290117860946,P_7290117860946.jpg,"תחליב רחצה יוגורט וקוקוס","הוואי",,,,,
P_7296073612735,P_7296073612735.jpg,"לחם מחמצת כוסמין","שופרסל",,,,,
P_7290116934280,P_7290116934280.jpg,"גבינה לבנה שמיר ושום 5%","תנובה",,,,,
P_7290119375295,P_7290119375295.jpg,"יוגורט דיאט מנגו אפרסק","דנונה",,,,,
P_7290019621478,P_7290019621478.jpg,"מנת פסטה אלפרדו","בלה איטליה",,,,,
P_7296073641568,P_7296073641568.jpg,"לחם מחמצת אגוזים פרוס","שופרסל",,,,,
P_7290114311328,P_7290114311328.jpg,"חלב נטול לקטוז מועשר 2%","טרה",,,,,
P_7290114311458,P_7290114311458.jpg,"חלב מועשר סידן+D קרטון3%","טרה",,,,,
P_7290107932080,P_7290107932080.jpg,"חלב יטבתה מועשר3% בקבוק","יטבתה",,,,,
P_7290102390465,P_7290102390465.jpg,"יוג.קציפת אפרסק+פסיפלורה","מולר",,,,,
P_7290102395224,P_7290102395224.jpg,"יוגורט מולר נטורל 1.7%","מולר",,,,,
P_5839078,P_5839078.jpg,"יוגורט דנונה ביו 3%","דנונה",,,,,
P_51352,P_51352.jpg,"חלב של פעם מלא4%-3.6%","תנובה",,,,,
P_3321155,P_3321155.jpg,"יוגורט קראנצ פקאן","דנונה",,,,,
P_6451484,P_6451484.jpg,"לחם מחמצת אגוזים צימוקים","שופרסל",,,,,
P_4129545,P_4129545.jpg,"גבינה לבנה למריחה 3%","תנובה",,,,,
P_60880,P_60880.jpg,"פסטה ספגטי מס' 8","אסם",,,,,
P_7296073153337,P_7296073153337.jpg,"פסטה בוקאטיני","MORINI",,,,,
P_47942,P_47942.jpg,"גבינה 9% שומן כשר מהדרין","תנובה",,,,,
P_7290102390427,P_7290102390427.jpg,"יוגורט פרופ מולר תות שדה","מולר",,,,,
P_40974,P_40974.jpg,"חלב טרי 2% דל לקטוז","תנובה",,,,,
P_408316,P_408316.jpg,"יוגורט ביו 3% שומן דנונה","דנונה",,,,,
P_7296073641605,P_7296073641605.jpg,"לחם מחמצת צרפתי פרוס","שופרסל",,,,,
P_7290119377480,P_7290119377480.jpg,"יוגורט פרו עם שוקולד","דנונה",,,,,
P_7290114311489,P_7290114311489.jpg,"גבינה לבנה 5% למריחה","טרה",,,,,
